epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.72586,1.25351,1.79098,1.30059,0.67038,0.51855,0.61271,0.45253,1.09598,1.17094,1.14324,2.618e-05,2.618e-05,2.618e-05
2,14.1209,1.2354,1.59683,1.28205,0.67774,0.519,0.6126,0.44903,1.11135,1.19996,1.15277,5.30199e-05,5.30199e-05,5.30199e-05
3,18.3371,1.21269,1.4298,1.24617,0.69432,0.52116,0.6066,0.43982,1.11661,1.22167,1.15492,7.93178e-05,7.93178e-05,7.93178e-05
4,22.6165,1.17583,1.39448,1.25068,0.56486,0.5606,0.60037,0.4379,1.12721,1.25125,1.16643,0.000105074,0.000105074,0.000105074
5,26.9319,1.14902,1.30639,1.21603,0.5303,0.57004,0.57477,0.41571,1.14286,1.32025,1.1758,0.000114288,0.000114288,0.000114288
6,31.2382,1.15495,1.36065,1.23418,0.496,0.56819,0.55215,0.40206,1.14831,1.35893,1.18306,0.00011311,0.00011311,0.00011311
7,35.7418,1.13093,1.33567,1.22576,0.6015,0.46728,0.54619,0.40258,1.15546,1.41047,1.19219,0.000111931,0.000111931,0.000111931
8,40.1351,1.14701,1.25164,1.22883,0.45234,0.53657,0.54361,0.39433,1.14317,1.42726,1.18612,0.000110753,0.000110753,0.000110753
9,44.3719,1.12751,1.21908,1.2253,0.63585,0.4854,0.54197,0.39549,1.13715,1.42034,1.18278,0.000109575,0.000109575,0.000109575
10,48.6809,1.08888,1.18941,1.19232,0.55901,0.49589,0.54146,0.40873,1.1358,1.40597,1.17987,0.000108397,0.000108397,0.000108397
11,52.938,1.09056,1.1642,1.17661,0.52527,0.51357,0.5384,0.40323,1.1395,1.41654,1.1848,0.000107219,0.000107219,0.000107219
12,57.3348,1.10847,1.1622,1.16823,0.58089,0.47887,0.53065,0.40295,1.15725,1.42426,1.19237,0.000106041,0.000106041,0.000106041
13,61.7553,1.08438,1.17402,1.17849,0.62516,0.47662,0.53982,0.40358,1.17923,1.44877,1.20328,0.000104863,0.000104863,0.000104863
14,66.0408,1.08767,1.10047,1.14081,0.569,0.47604,0.52811,0.39849,1.1976,1.47249,1.21469,0.000103685,0.000103685,0.000103685
15,70.4406,1.09088,1.08409,1.16018,0.5683,0.48101,0.53878,0.40571,1.19597,1.46018,1.21415,0.000102507,0.000102507,0.000102507
16,75.0138,1.08917,1.06509,1.16331,0.57336,0.45554,0.53659,0.40291,1.18741,1.46395,1.20987,0.000101329,0.000101329,0.000101329
17,80.0128,1.09289,1.10027,1.17119,0.5741,0.45867,0.523,0.393,1.18517,1.47383,1.21532,0.00010015,0.00010015,0.00010015
18,84.5207,1.08091,1.0611,1.16323,0.44013,0.49721,0.53004,0.39381,1.18677,1.48253,1.21498,9.89723e-05,9.89723e-05,9.89723e-05
